company,role,job_link,location,remote,status,date_applied,follow_up_date,contact_name,contact_email,contact_link,notes
Glean,"AI Success Manager, East",https://job-boards.greenhouse.io/gleanwork/jobs/4661878005,Remote - US,Yes,Blocked,,,,,,"Official Greenhouse form inspected; strong AI adoption/customer workflow fit, but blocked by required compensation expectations, future US sponsorship answer, and exact relevant-years answer"
Glean,"AI Outcomes Manager, East",https://job-boards.greenhouse.io/gleanwork/jobs/4661934005,Remote - US,Yes,Blocked,,,,,,"Official Greenhouse form inspected; strong AI outcomes/customer workflow fit, but blocked by required compensation expectations, future US sponsorship answer, and exact relevant-years answer"
Hebbia,"Backend Engineer, Agents",https://jobs.ashbyhq.com/hebbia-ai/1c18a253-3c4d-4e5a-952d-cd35ba690ea7/application,NYC / San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; agent/backend role fit emphasized through resume projects and GitHub
Hebbia,"Backend Engineer, Agent Collaboration Platform",https://jobs.ashbyhq.com/hebbia-ai/d4efb36c-c59b-4468-b572-88264d555167/application,NYC / San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; AI agent collaboration/backend platform fit
Hebbia,"Applied Research Engineer, Agents",https://jobs.ashbyhq.com/hebbia-ai/33b7e44e-a37e-4cc8-9a17-7443236650e4/application,NYC / San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; applied AI/evals/agent systems fit
Hebbia,Data Engineer,https://jobs.ashbyhq.com/hebbia-ai/a848ec35-c0ee-404a-b153-5d8c2c434003/application,NYC / San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; Python/SQL/data product fit
Hebbia,Forward Deployed Engineer,https://jobs.ashbyhq.com/hebbia-ai/b35852eb-97ac-491a-b375-91fd13d0b7b3/application,NYC / San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected; strong AI/FDE fit, but blocked by required answer to whether candidate is currently located in or willing to relocate to New York City"
Cognition,Applied AI Engineer,https://jobs.ashbyhq.com/cognition/811c3f5a-b26d-4162-b49b-93890a91794d/application,San Francisco / London / New York City onsite,No,Submitted,2026-06-10,2026-06-17,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; tailored note covered Python/SQL/TypeScript, eval dashboards, workflow automation, and Devin-era software engineering fit"
Cognition,Product Engineer,https://jobs.ashbyhq.com/cognition/439404bb-3185-4d22-b6df-4a5e39a510d6/application,San Francisco / New York City onsite,No,Submitted,2026-06-10,2026-06-17,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; tailored product-engineering note emphasized React/TypeScript, APIs, data pipelines, and AI workflow tools"
Cognition,Software Engineer,https://jobs.ashbyhq.com/cognition/e8086415-62bc-4cc0-96a4-84bb56182d35/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form attempted after correcting required How did you hear about us field; Cognition returned one-application-per-role-every-3-months limit, so no new submission counted"
Railway,Senior Platform Engineer: Storage,https://jobs.ashbyhq.com/Railway/25d8444a-47dc-4084-ae56-29a0f0b19b74/application,Global remote,Yes,Submitted,2026-06-10,2026-06-17,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Thank you for your interest / application successfully submitted; tailored Why Railway response emphasized infrastructure-as-product, Python/TypeScript, Postgres/Redis/Docker/GitHub Actions, repo-health automation, and reliable systems"
Railway,Infrastructure Engineer,https://jobs.ashbyhq.com/Railway/b8072f95-043f-404d-a313-f0bdf8dd3c81/application,Remote - United States,Yes,Submitted,2026-06-10,2026-06-17,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Thank you for your interest / application successfully submitted; tailored Why Railway response emphasized deployment, developer velocity, TypeScript/React, Python/FastAPI, SQL, Docker, GitHub Actions, and reliability"
Hebbia,"Platform Engineer, Document Intelligence",https://jobs.ashbyhq.com/hebbia-ai/3b7a4d3c-bb0a-455c-80b3-91faf94b9523/application,NYC / San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; document intelligence/platform engineering fit
Hebbia,"Backend Engineer, Growth and Data",https://jobs.ashbyhq.com/hebbia-ai/1710a563-14df-45c5-a6b1-a62adcdead89/application,NYC / San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; backend/data/growth engineering fit
Hebbia,Integrations Engineer,https://jobs.ashbyhq.com/hebbia-ai/6cf5b93f-c465-497f-811a-008050c143e7/application,NYC / San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; integrations/API/workflow automation fit
Hebbia,Technical Delivery,https://jobs.ashbyhq.com/hebbia-ai/3d1c1050-236a-42e4-a1be-8e6b48b6b247/application,NYC onsite,No,Blocked,,,,,,"Official Ashby form inspected; strong AI strategy/technical delivery fit, but blocked by required answer to whether candidate is based in or willing to relocate to New York City"
Hebbia,Solutions Engineer,https://jobs.ashbyhq.com/hebbia-ai/6ee51b19-cead-4fb5-b83c-6285a36541a7/application,NYC onsite,No,Blocked,,,,,,"Official Ashby form inspected; strong AI solutions/customer workflow fit, but blocked by required answer to whether candidate is based in or willing to relocate to New York City"
Cognition,Deployed Engineer,https://jobs.ashbyhq.com/cognition/d72d584c-bb11-4b6a-b043-d81425ea884a/application,San Francisco / Austin / New York City onsite,No,Blocked,,,,,,"Official Ashby form attempted with resume PDF and tailored achievement response; Cognition returned one-application-per-role-every-3-months limit, so no new submission counted"
Cognition,AI Support Engineer,https://jobs.ashbyhq.com/cognition/02772183-104d-4cc6-92a4-8e928f51b862/application,San Francisco / New York City onsite,No,Blocked,,,,,,"Official Ashby form attempted with resume PDF and tailored support-engineering note; Cognition returned one-application-per-role-every-3-months limit, so no new submission counted"
Cognition,Data Engineer,https://jobs.ashbyhq.com/cognition/9ef920ff-de3d-4b5d-8733-f3bf92763b0f/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form attempted with resume PDF and tailored data-engineering note; Cognition returned one-application-per-role-every-3-months limit, so no new submission counted"
Cognition,Applied AI Transformation Manager,https://jobs.ashbyhq.com/cognition/ca40e489-d1cb-4a8a-b761-ec3a67c8fda6/application,San Francisco / New York City onsite,No,Blocked,,,,,,"Official Ashby form attempted with resume PDF and tailored AI-transformation note; Cognition returned one-application-per-role-every-3-months limit, so no new submission counted"
Speakeasy,Product Engineer - AI Control Plane,https://jobs.ashbyhq.com/Speakeasy/df5263bd-c529-4563-9d93-136a5d5b1dd5/application,San Francisco onsite,No,Submitted,2026-06-10,2026-06-17,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Success / Your application was successfully submitted; tailored note emphasized AI control plane, APIs/SDKs, security/observability, TypeScript/Python, eval tooling, workflow automation, and public GitHub projects"
Fathom,Full Stack Engineer,https://jobs.ashbyhq.com/fathom.video/01619869-e031-464c-b3b3-7674f10a77f6/application,Remote,Yes,Blocked,,,,,,Official Ashby form attempted with resume PDF and LinkedIn; blocked after submit because the form revealed required US work-authorization and Fathom-user answers that should not be guessed
Pinecone,"Senior/Staff Software Engineer, Experience",https://jobs.ashbyhq.com/pinecone/773e953d-8f53-4313-93b4-35a553bad1cb/application,US Remote,Yes,Blocked,,,,,,"Official Ashby form attempted with resume PDF, phone, and LinkedIn; blocked after submit because the form revealed required preferred-pronoun, location, sponsorship, and side-obligation questions that should not be guessed"
Pinecone,"Senior/Staff Software Engineer, Search & Retrieval Infrastructure",https://jobs.ashbyhq.com/pinecone/7ef089cb-a721-4ad8-a6d0-c390e64991d2/application,US Remote,Yes,Blocked,,,,,,"Official Ashby form inspected; strong AI retrieval/search infrastructure fit, but blocked by the same required Pinecone sponsorship, side-obligation, preferred-pronoun, and location questions"
Scale AI,"Software Engineer, Enterprise AI",https://job-boards.greenhouse.io/scaleai/jobs/4513943005#app,"New York, NY / San Francisco, CA",No,Blocked,,,,,,"Official Greenhouse form inspected; strong enterprise AI/platform fit, but blocked by required non-compete/current-former-employer restriction answer plus US work authorization and future sponsorship answers; optional cover letter slot detected and automation is configured to upload the cover letter if used"
Scale AI,"Forward Deployed Engineer, GenAI",https://job-boards.greenhouse.io/scaleai/jobs/4593571005#app,"San Francisco, CA / New York, NY",No,Blocked,,,,,,"Official Greenhouse form inspected; strong GenAI/FDE fit, but blocked by required non-compete/current-former-employer restriction answer plus US work authorization and future sponsorship answers; optional cover letter slot detected and automation is configured to upload the cover letter if used"
Tetsuwan Scientific,Software Engineer,https://jobs.ashbyhq.com/tetsuwan/ad583fec-dc0a-4b6c-8171-416403a0e7ed/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected; strong AI/robotics/lab-automation fit with $140K-$180K range, but blocked by explicit no-AI/own-words application guidance, required San Francisco 5-days/week relocation answer, and required US work authorization/future sponsorship answers"
Scribd,Lead Product Manager - AI Developer Platform,https://jobs.ashbyhq.com/ScribdInc/ff2680ea-9a6d-436d-bdb0-300c647bf23e/application,US/Canada remote eligible cities,Yes,Blocked,,,,,,"Official Ashby form inspected; AI developer-platform topic is relevant but role is lead product management rather than best engineering fit; form includes application limits, required AI-tools narrative, work-authorization/sponsorship selections, and optional cover-letter upload"
Shepherd,"Software Engineer, Full Stack",https://jobs.ashbyhq.com/shepherd/c4081c3d-a79b-4ac9-aa19-78f5e1a24c4d/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected; high-paying AI-native insurance/full-stack fit, but blocked by required US work authorization answer and required comfort with five-days/week onsite in San Francisco; source field detected"
vvd,Design Engineer,https://jobs.ashbyhq.com/vvd/c56cc77f-1ac1-4e31-9281-b7d01216dae2/application,Remote,Yes,Blocked,,,,,,"Official Ashby form inspected; remote React/TypeScript/design-engineering fit, but blocked by explicit AI-filling trap plus required personal/taste/product critique answers that should not be AI-generated without user input"
SalesJack,Implementation Engineer,https://jobs.ashbyhq.com/salesjack/3ab994a1-00fa-4826-8069-748f41be5071/application,Toronto / Hamilton onsite,No,Blocked,,,,,,"Official Ashby form inspected; forward-deployed implementation angle is adjacent, but blocked by Canada sponsorship/work eligibility question, onsite Canada location, and custom forward-deployed experience/source questions"
Trace,"Software Engineer, Full Stack",https://jobs.ashbyhq.com/tracelabs/963005ce-f4f1-4d54-957d-139b7849cb4a/application,United States remote,Yes,Blocked,,,,,,"Official Ashby form inspected; excellent physical-AI data infrastructure fit with $150K-$250K range, but blocked by required US work authorization and future visa sponsorship answers; why-Trace answer drafted in automation but not submitted"
Modal,Member of Technical Staff - Product (Backend),https://jobs.ashbyhq.com/modal/a4b8b2b6-5d0c-4ba6-9256-b84be84fb79e/application,New York / San Francisco onsite,No,Blocked,,,,,,Official Ashby form attempted with resume PDF; blocked after submit because the form required answer to whether candidate is excited and able to work from the NYC or SF office; no answer guessed and no submission counted
Sierra,"Software Engineer, Agent",https://jobs.ashbyhq.com/Sierra/e9f5fdb6-91ee-4c55-9230-41ec8865650e/application,San Francisco / Atlanta / New York onsite,No,Blocked,,,,,,"Official Ashby form inspected from broader AI-company search; very strong agent-engineering fit with $180K-$390K range, but blocked by required US work authorization, future sponsorship, in-person office commitment, and personal favorite-junk-food/source questions"
Sierra,"Software Engineer, Agent Data Platform",https://jobs.ashbyhq.com/Sierra/78c5dce4-3670-4c9b-a666-98f435c56324/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected from broader AI-company search; strong agent data-platform fit with $230K-$390K range, but blocked by required US work authorization, future sponsorship, San Francisco office/relocation commitment, and personal/source questions"
Sierra,Developer Relations Engineer,https://jobs.ashbyhq.com/Sierra/7053ca02-ee36-48cc-b331-9d795a966c4c/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected; strong AI developer-relations fit with $175K-$280K range, but blocked by required US work authorization, future sponsorship, and San Francisco in-office commitment"
Render,"Software Engineer, Product (all levels)",https://jobs.ashbyhq.com/render/c7d896f2-20a9-4b44-9f7d-13929a0fe453/application,Remote US/Canada,Yes,Blocked,,,,,,"Official Ashby form inspected from remote platform-company search; strong product engineering fit with $170K-$290K range, but blocked by required country work authorization/future sponsorship and preferred-pronoun/current-employer fields; cover-letter upload detected"
Render,"Software Engineer, Infrastructure (all levels)",https://jobs.ashbyhq.com/render/d52dc923-1641-4386-b8ba-5c15e1d7028d/application,Remote US/Canada,Yes,Blocked,,,,,,"Official Ashby form inspected; strong infrastructure/developer-platform fit, but blocked by required US work authorization and future sponsorship answers plus why-Render/custom fields; cover-letter upload detected"
Render,"Developer Relations Engineer, Community",https://jobs.ashbyhq.com/render/4611bde4-47ac-45fc-ab56-235489e52682/application,Remote US,Yes,Blocked,,,,,,"Official Ashby form inspected; strong public-builder/devrel fit, but blocked by required US work authorization/future sponsorship plus pronouns/source fields; cover-letter upload detected and source field available"
Vercel,"Software Engineer, Backend",https://vercel.com/careers/software-engineer-backend-us-5430088004,United States,Yes,Blocked,,,,,,"Official Vercel form inspected; strong backend/platform fit with $196K-$294K SF salary anchor, but blocked by required visa sponsorship/status answer and role-fit essay; resume upload available"
Vercel,"Software Engineer, AI Gateway",https://vercel.com/careers/software-engineer-ai-gateway-5798406004,New York City / San Francisco,No,Blocked,,,,,,"Official Vercel form inspected; excellent AI Gateway/AI SDK/open-source fit with $196K-$294K SF salary anchor, but blocked by required visa sponsorship/status answer and senior 5+ years/role-fit essay; resume upload available"
PostHog,Product Engineer,https://posthog.com/careers/product-engineer,Remote,Yes,Blocked,,,,,,"Official PostHog role form inspected; strong open-source product engineering fit and cover-letter field present, but blocked by required sponsorship-to-work-in-desired-location answer"
PostHog,AI Research Engineer,https://posthog.com/careers/ai-research-engineer,Hybrid UK,No,Blocked,,,,,,"Official PostHog role form inspected; strong AI research/product analytics fit, but blocked by required UK sponsorship answer and hybrid London office expectation; cover-letter field present"
PostHog,Backend Engineer - Ingestion,https://posthog.com/careers/backend-engineer-ingestion,Remote,Yes,Blocked,,,,,,"Official PostHog role form inspected; strong data ingestion/backend fit, but blocked by required sponsorship-to-work-in-desired-location answer; cover-letter field present"
Decagon,Agent Strategy Manager,https://jobs.ashbyhq.com/decagon/ebeb6781-5357-4f70-a24b-0293a659bfac/application,Atlanta remote,Yes,Blocked,,,,,,"Official Ashby form inspected after resolving hidden Decagon links; high-paying AI agent strategy role, but blocked by required US work authorization, future visa sponsorship, five-days/week office question, college, language, and source fields"
Decagon,"Research Engineer, Agents",https://jobs.ashbyhq.com/decagon/534658d0-9772-441e-8c06-ed6cdcd355e1/application,San Francisco,No,Blocked,,,,,,"Official Ashby form inspected; exceptional agent research fit with $200K-$400K range, but blocked by required US work authorization, future sponsorship, five-days/week office answer, college, and source fields"
Decagon,Senior Research Engineer,https://jobs.ashbyhq.com/decagon/c1ac7d78-028b-451e-a10a-48c3c11308ea/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected; strong senior AI research fit with $200K-$400K range, but blocked by required US work authorization, future sponsorship, five-days/week office answer, college, and source fields"
Decagon,"Customer Engineer, Agent Builder",https://jobs.ashbyhq.com/decagon/8c40fb7a-5f25-4112-a1df-f1c22b81042c/application,San Francisco onsite,No,Blocked,,,,,,"Official Ashby form inspected; strong agent-builder/customer-engineering fit with $175K-$230K range, but blocked by required US work authorization, future sponsorship, five-days/week office answer, college, and source fields"
Second Nature,"Staff Software Engineer, Engineering AI Team",https://jobs.ashbyhq.com/second-nature/ce8bb758-f58a-4800-8a6d-dff88c82ea50/application,"Remote, USA",Yes,Blocked,,,,,,"Official Ashby form inspected from HN and direct Ashby board; strong remote AI engineering fit with $150K-$180K range, but blocked by required street address, ZIP code, salary-expectation alignment, travel/biannual meetings, future sponsorship, and years-band questions"
Veedma,Founding Product Engineer,https://app.dover.com/apply/Veedma/8f5e6d01-75f1-46a8-b5b7-9ecddc685869/,"Remote, United States",Yes,Blocked,,,,,,"Official Dover form inspected from HN; high-upside remote healthcare AI/product role with $160K-$200K and 1-1.25% equity, but blocked by required specific Claude Code daily-use/MCP setup answers and healthcare-production claims that should not be guessed"
Seeq,Backend Software Engineer Staff/Principal,https://apply.workable.com/seeq/j/CDBF1AE73C/apply/,Remote,Yes,Not qualified,,,,,,"Official Workable form inspected; strong data/analytics backend fit with $170K-$205K range, but role asks required 10+ years of professional software development experience and staff/principal depth beyond current confirmed resume facts; cover-letter field optional"
JustPark,"Lead Engineer, Oobeo Platform",https://apply.workable.com/justpark/j/48D1D405D8/apply/,Dallas hybrid,No,Blocked,,,,,,"Official Workable form inspected; adjacent backend/platform role, but blocked by required address, US work eligibility/no-sponsorship confirmation, salary expectation, notice period, and DFW/NY/Philadelphia relocation/location answer; cover-letter field optional"
JustPark,Lead Full Stack Engineer,https://apply.workable.com/justpark/j/6016D774E3/apply/,London hybrid,No,Blocked,,,,,,"Official Workable form inspected; blocked by required address, UK work eligibility/no-sponsorship confirmation, London hybrid confirmation, notice period, and salary expectation; cover-letter field optional"
Fullstory,Senior Data Pipeline & AI Engineer,https://jobs.ashbyhq.com/fullstory/712e2da5-17ac-436f-8d2f-f44c1ae2d030/application,Atlanta,No,Blocked,,,,,,"Official Ashby form inspected; strong AI/data-pipeline fit and cover-letter upload present, but blocked by required US work authorization, future sponsorship, Atlanta commute, pronouns, and custom AI/warehouse-agent answers"
Fullstory,Senior Data Engineer,https://jobs.ashbyhq.com/fullstory/20dd3185-3313-4ac3-b1de-cf6da9a8d974/application,Atlanta hybrid,No,Blocked,,,,,,"Official Ashby form inspected; strong data engineering fit and cover-letter upload present, but blocked by required US work authorization, future sponsorship, Atlanta commute, pronouns, and custom AI/warehouse-agent answers"
Fullstory,"Senior Software Engineer, Data Ingestion",https://jobs.ashbyhq.com/fullstory/953a8753-dede-4507-a482-eabb71a78de1/application,Atlanta hybrid,No,Blocked,,,,,,"Official Ashby form inspected; strong data-ingestion/backend fit and cover-letter upload present, but blocked by required US work authorization, future sponsorship, Atlanta commute, and pronoun answer"
Nextera Robotics,AI / ML Engineer,https://www.ycombinator.com/companies/nextera-robotics/jobs/bbyawrb-ai-ml-engineer,"Boston, MA",No,Blocked,,,Alex Rand,,,"High-fit YC Physical AI/computer-vision role ($130K-$180K, 1+ years); official Apply to role route requires Work at a Startup login/profile; posting says US citizen/visa only, so legal eligibility needs Ian-confirmed answer before applying."
Voiceops,Founding AI Engineer,https://www.ycombinator.com/companies/voiceops/jobs/Gtlq7oz-founding-ai-engineer,"New York, NY",No,Blocked,,,Ethan Barhydt,,,"Strong YC AI-agent/product role ($200K-$250K + equity, 3+ years, AWS/PostgreSQL/React/TypeScript/LLMs/AI Agents); official Apply to role route requires Work at a Startup login/profile."
Encord,Full-Stack Engineer,https://www.ycombinator.com/companies/encord/jobs/ycUS52d-full-stack-engineer,London,No,Blocked,,,,,,"AI data-layer company, Python/TypeScript fit, but role is London/in-person oriented with 3+ years and official application requires YC Work at a Startup login/profile."
Chainguard,Senior Software Engineer (Customer Platform),https://job-boards.greenhouse.io/chainguard/jobs/4688378006,Remote / United States,Yes,Blocked,,,,,,"Sequoia-backed open-source/security/AI-agent supply-chain company; Greenhouse form requires how-heard source, intended work location, sponsorship answer, and an explicit no-AI/ChatGPT written response, so automation must not submit."
Cyera,Data Scientist - DLP,https://www.comeet.com/jobs/cyera/17.008/data-scientist----dlp/24.C60,Tel Aviv,No,Blocked,,,,,,Sequoia-backed AI/data-security company; role is AI/ML security relevant but appears Tel Aviv-based and Comeet apply flow needs further manual expansion/eligibility review before submission.
Cyera,Senior Data Engineer,https://www.comeet.com/jobs/cyera/17.008/senior-data-engineer/40.767,Tel Aviv,No,Not qualified,,,,,,"AI data-security role, but posting is Tel Aviv full-time and asks 5+ years software/data engineering with 2+ years data platform focus; not a strong fit for current target constraints."
Attentive,"Staff Software Engineer, Developer Experience",https://job-boards.greenhouse.io/attentive/jobs/4261679009,United States,Yes,Not qualified,,,,,,"AI-assisted developer-tooling exposure is relevant and compensation is strong ($180K-$240K), but staff role requires 8+ years software engineering plus 4+ years developer infrastructure; Greenhouse also requires US sponsorship answer."
OfferUp,Senior Cloud Engineer (Hybrid Bellevue or Remote Florida),https://job-boards.greenhouse.io/offerup/jobs/7997280,"Bellevue, WA or Remote Florida",Partial,Blocked,,,,,,"a16z portfolio role with strong compensation ($215K-$240K), but Greenhouse form requires permanent residency in Seattle/Bellevue or Florida, US work eligibility, future immigration-support answer, and exact expected compensation."
Elucid,Principal Platform Engineer,https://elucid.applytojob.com/apply/BHpChxSggM/Principal-Platform-Engineer?source=HackerNews,"Boston, MA hybrid",Partial,Not qualified,,,,,,"AI medical-tech platform role, but principal posting asks 7+ years DevOps/SRE/platform experience and Boston hybrid/relocation plus citizenship/employment eligibility, address, and multiple custom written answers."
Conservation Metrics,"Lead Software Engineer, Data Sovereignty",https://conservationmetrics.com/careers/lead-data-platform-engineer/,"Remote US, preference CA/VA/NV/MN",Yes,Submitted,2026-06-11,2026-06-18,,eng-apply@conservationmetrics.com,,Official posting says Google Form is preferred but email is acceptable if form/login is an issue; submitted by Gmail to eng-apply@conservationmetrics.com with resume attached and cover-letter content in email body; message id 19eb496e7ddf25f4; remote sensing/data sovereignty/open-source platform fit.
Enveritas,Backend Software Engineer,https://enveritas.org/jobs/backend-software-eng/#10d7adef8us,Remote global,Yes,Blocked,,,,,,"HN/YC nonprofit data-platform target; official role page triggered Cloudflare block in automation, so the form could not be inspected or submitted."
Blackshark.ai,Senior Software Engineer - Data Plane Team,https://jobs.eu.lever.co/blackshark/17fbf310-ea37-435f-a198-c2fd4e80087d/apply,"Graz / Remote EU, European work hours",Partial,Not qualified,,,,,,"Geospatial AI platform and data-systems fit, but posting is intended for European work hours/location with EU compensation and senior scope; not a strong US-focused target."
Beatdapp,Machine Learning Engineer II - Inference Platform,https://beatdapp.breezy.hr/p/fcefc290c7b0-machine-learning-engineer-ii-inference-platform/apply,"Vancouver, BC",No,Not qualified,,,,,,"Interesting ML inference/audio integrity role, but posting is Vancouver-based and asks 3+ years platform/infra/backend/ML work plus related STEM degree; not a clean fit for current US remote AI target."
Ashby,"Senior Product Engineer, Americas",https://jobs.ashbyhq.com/Ashby/751768c6-8d97-4e91-a57d-6b85ce4b5a37/application,Remote US / Americas cities,Yes,Blocked,,,,,,"High-signal developer-tooling/product role ($153K-$220K + equity) but Ashby form requires employment visa sponsorship answer, 4+ years full-time-engineer qualification answer, and a role-specific written essay; staged rather than guessing."
Ashby,"Design Engineer, Americas",https://jobs.ashbyhq.com/Ashby/cc846e56-27dd-41b5-bf5b-64d5eeb5ff1a/application,Remote US / Americas cities,Yes,Not qualified,,,,,,"Strong compensation and product-engineering environment, but posting requires 5+ years as a full-time frontend engineer or equivalent frontend/design split plus sponsorship answer; not a clean fit."
Lantern,Software Engineer - Python / Full-Stack,https://forms.gle/kEi5MDDiaJKdyN3fA,New York City onsite,No,Blocked,,,,,,"AI-powered revenue intelligence startup; official application is a Google Form requiring sign-in, and HN post says NYC onsite. Not submitted via automation."
Runway,Staff Product Analytics Engineer,https://jobs.ashbyhq.com/runway-ml/b3b7f8e1-c252-4f61-baaf-c7ab6bfa9572,Remote,Yes,Blocked,,,,,,"High-signal multimodal AI company; Runway careers listed this analytics-engineering role as Remote on 2026-06-11, but the official application route is a JS-only Ashby page and this environment's browser security policy blocks jobs.ashbyhq.com, so the form questions could not be inspected or submitted."
Runway,"Member of Technical Staff, Research Engineer (Datasets)",https://jobs.ashbyhq.com/runway-ml/f74afbd9-b4e8-4b87-835a-5e22dcc556ae,Remote,Yes,Blocked,,,,,,"High-signal AI video/data-systems role; Runway careers listed this datasets-focused research-engineering role as Remote on 2026-06-11, but the official application route is a JS-only Ashby page and this environment's browser security policy blocks jobs.ashbyhq.com, so the form questions could not be inspected or submitted."
Runway,"Member of Technical Staff, Backend Engineer, API",https://jobs.ashbyhq.com/runway-ml/8489a08a-f0cf-4418-968c-c7c803d538bc,Remote,Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-12; excellent Runway fit for TypeScript APIs, async workflows, Postgres, observability, and AI platform reliability, but blocked by a required current U.S. work-authorization answer plus additional personal-form fields best supplied directly, including phonetic name spelling."
Runway,"Member of Technical Staff, Research Engineer",https://jobs.ashbyhq.com/runway-ml/98e4b160-3bbe-4acd-b106-ad75ccc49675,Remote,Yes,Blocked,,,,,,"High-signal AI video/research-systems role; Runway careers listed this research-engineering role as Remote on 2026-06-11, but the official application route is a JS-only Ashby page and this environment's browser security policy blocks jobs.ashbyhq.com, so the form questions could not be inspected or submitted."
Genius Sports,"Senior Software Engineer, Sports AI",https://www.geniussports.com/careers/job/7621212003/,"Los Angeles, CA",No,Blocked,,,,,,"Excellent sports-AI fit with real-time multimodal pipelines, evaluation, and observability. Official form is readable, but submission is blocked pending truthful answers on US work authorization, future sponsorship, current location, LA relocation willingness, and the 4-days-per-week Century City office requirement. 'How did you hear about us?' can be answered truthfully as company careers page."
Anthropic,"Product Engineer, Computer Use",https://job-boards.greenhouse.io/anthropic/jobs/5238637008,"San Francisco, CA / Seattle, WA",No,Blocked,,,,,,"Official Greenhouse application inspected on 2026-06-11; exceptional full-stack AI product fit across browser control, agent harnesses, evals, SQL/lightweight analytics, and end-to-end ownership; blocked by required 25% in-office answer, earliest-start/timeline response, Why Anthropic response, visa sponsorship answers, relocation/address answer, and prior Anthropic interview history."
Anthropic,"Software Engineer, Research Data Platform",https://job-boards.greenhouse.io/anthropic/jobs/5191226008,"San Francisco, CA / New York City, NY",No,Blocked,,,,,,"Official Greenhouse application inspected on 2026-06-11; strong Python/SQL/data-product/internal-tooling fit for researcher workflows, ETL, metadata, and experiment visibility; blocked by required 25% in-office answer, earliest-start/timeline response, Why Anthropic response, visa sponsorship answers, relocation/address answer, and prior Anthropic interview history."
Anthropic,"Software Engineer, Human Data Interface",https://job-boards.greenhouse.io/anthropic/jobs/5109273008,"San Francisco, CA / New York City, NY",No,Blocked,,,,,,"Official Greenhouse application inspected on 2026-06-11; strong full-stack internal-tools and human-in-the-loop data-pipeline fit; blocked by required 25% in-office answer, earliest-start/timeline response, Why Anthropic response, visa sponsorship answers, relocation/address answer, and prior Anthropic interview history."
Anthropic,"Software Engineer, Claude Design",https://job-boards.greenhouse.io/anthropic/jobs/5229345008,"San Francisco, CA / New York City, NY / Seattle, WA",No,Blocked,,,,,,"Official Greenhouse application inspected on 2026-06-14; high-signal Claude Design frontend/product role with strong React/TypeScript/design-systems fit, but blocked by required 25% in-office answer, earliest-start/timeline response, Why Anthropic response, visa sponsorship answers, relocation/address answer, and prior Anthropic interview history."
OpenAI,"Software Engineer, Codex App",https://openai.com/careers/software-engineer-codex-app-san-francisco/,"San Francisco / Seattle / London, UK",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-12; strong Codex role for TypeScript, Node, Electron, developer workflows, and reliability-minded product engineering, but blocked by required earliest-start-date, current-work-authorization, future-visa-sponsorship, and 3-days-per-week US office answers, plus arbitration/certification acknowledgements."
OpenAI,"Software Engineer, Codex Cloud Apps",https://openai.com/careers/software-engineer-codex-cloud-apps-san-francisco/,"San Francisco / Seattle",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-12; strongest current OpenAI fit for full-stack AI product work across agents, APIs, governance, analytics, and customer-facing workflows, but blocked by required earliest-start-date, current-work-authorization, future-visa-sponsorship, and 3-days-per-week San Francisco office answers. The form also notes a 5-application limit within any 180-day span."
